Name,Subtitile,Authoring country,Authorinng regional organization,All applicable countries,Topics,Subtopics,Document type,Description,Date of original publication,Date entered into force,Language,Original language title,File URL,size,type
A New Tax System (Family Assistance) Act 1999,"No. 80, 1999",AUS,,AUS,"Childhood vaccination, General vaccination policies","Enforcement of childhood vaccination requirement, Exemption from childhood vaccination requirement, Childhood vaccination requirement",Legislation,"This document describes the tax subsidy system of Australia for families. Importantly, the system includes a reduced subsidy for parents that refuse to vaccinate their children. 
",1999-01-01,2015-11-26,English,A New Tax System (Family Assistance) Act 1999,https://ampeid.org/static/a70fb34c888357eb83651d3988702a98/AUS_New Tax System Act_1999..pdf,4.53 MB,.pdf
ABS Guidelines,The Domestic Measures of the Nagoya Protocol,JPN,,JPN,Access and benefit-sharing,"Scope of legislation, Digital sequence information (DSI), Access to resources, Benefit-sharing, Compliance, Contractual terms, Prior informed consent (PIC)",Supporting document,"Pamphlet summarizing the rules of Japan's implementation of the Nagoya Protocol. 
",2017-07-01,,English,ABS Guidelines,https://ampeid.org/static/bb4fc580c19988838a434cb65c64ea35/pamphlet_en..pdf,1.4 MB,.pdf
About immunoprophylaxis of infectious diseases,,AZE,,AZE,General vaccination policies,"Emergency vaccination authority, Enforcement of emergency vaccination",Legislation,"This document describes the rights and obligations of citizens of Azerbaijan with regard to vaccinations. Individuals may refuse routine vaccinations, but may be subject to compulsory vaccination in a health emergency. 
",2000-04-14,2000-04-14,Azerbaijani,Yoluxucu xəstəliklərin immunoprofilaktikası haqqında,https://ampeid.org/static/f84e17458f65af0a336d434ceb14b02c/AZE_Immunoprophylaxis..pdf,77.5 kB,.pdf
About public health,,KGZ,,KGZ,"Childhood vaccination, General vaccination policies, Quarantine and isolation","Childhood vaccination requirement, Diphtheria vaccination, Emergency vaccination authority, Enforcement of childhood vaccination requirement, Enforcement of emergency vaccination, Exemption from childhood vaccination requirement, Measles vaccination, Polio vaccination, Tuberculosis vaccination, Quarantine and isolation policies, Quarantine enforcement mechanisms and penalties, Authority to quarantine, List of actionable diseases, Isolation enforcement mechanisms and penalties, Authority to isolate",Legislation,"This law states the required actions to prevent and respond to health emergencies in Kyrgyzstan. 
",2009-07-24,2009-07-24,Kyrgyz,Коомдук саламаттык сактоо жөнүндө,https://ampeid.org/static/e8775701279eaac5aa80c55032e8059f/KGZ_Public Health..pdf,212 kB,.pdf
About public service of water supply and the sewerage (Translated),,MDA,,MDA,"Antimicrobial resistance and water, sanitation, and hygiene",Sewerage,Legislation,"This legislation provides the framework for the creation and management of public services responsible for drinking water supply, wastewater treatment, sewerage, and water purification. 
",2013-12-13,2013-12-13,English,About public service of water supply and the sewerage (Translated),https://ampeid.org/static/3d6bffe55cf572b388e9747225b0ed5f/Law of the Republic of Moldova _About public service of water supply and the sewerage_..pdf,81.3 kB,.pdf
Access and Benefit-Sharing booklet,,THA,,THA,Access and benefit-sharing,"Access to resources, Compliance, Scope of legislation, Prior informed consent (PIC)",Supporting document,"This booklet, whilst not legally binding, summarises  the relevant laws to access and benefit-sharing in Thailand. It describes the document ""National Committee on Conservation and Utilization of Biological Diversity Regulation on the Criteria and Methods of the Access to Biological Resources and Sharing of Benefits Arising from Biological Resources B.E. 2554 (2011)"" which is pertinent to the access of genetic resources of microorganisms specifically.
",2014-01-01,2014-01-01,English,Access and Benefit-Sharing,https://ampeid.org/static/56af3ad7cfa1a3fbf22e147c41ae328d/THA_ABS..pdf,12.7 MB,.pdf
Access to Biological Resources and Benefit Sharing Act 2017,,MYS,,MYS,Access and benefit-sharing,"Access to resources, Prior informed consent (PIC), Benefit-sharing, Compliance, Legal sanctions, Contractual terms, Scope of legislation, Digital sequence information (DSI)",Legislation,"This Act outlines all legislation relating to Access and Benefit-Sharing within Malaysia
",2017-10-17,2017-10-17,English,Access to Biological Resources and Benefit Sharing Act 2017,https://ampeid.org/static/b91c7ce2a37f2a7226783e9d0d7a277c/AccesstoBiologicalResourcesandBenefitSharingAct20172017..pdf,419 kB,.pdf
"Access to Biological and Genetic Resources and Associated Traditional Knowledge Act, 2017",,NAM,,NAM,Access and benefit-sharing,"Access to resources, Benefit-sharing, Compliance, Contractual terms, Digital sequence information (DSI), Legal sanctions, Prior informed consent (PIC), Scope of legislation",Legislation,"This Act establishes the legal obligations relating to access to genetic resources within Namibia.
",2017-06-27,2021-11-01,English,"Access to Biological and Genetic Resources and Associated Traditional Knowledge Act, 2017",https://ampeid.org/static/7e54a066b66cffa144240308d345d16b/NAM_ABS_2017..pdf,271 kB,.pdf
Access to Genetic Resources and Community Knowledge and Community Rights Proclamation,Proclamation no. 482/2006,ETH,,ETH,Access and benefit-sharing,"Access to resources, Benefit-sharing, Compliance, Legal sanctions, Prior informed consent (PIC), Scope of legislation",Legislation,"This Proclamation establishes into law the right of communities to receive fair and equitable benefits arising from the use of genetic resources and associated traditional knowledge.
",2006-02-27,2006-02-27,English,Access to Genetic Resources and Community Knowledge and Community Rights Proclamation,https://ampeid.org/static/0bf18190fb3d3ccd80114ccd8924b685/ETH_ABS Proclamation..pdf,10.1 MB,.pdf
"Access to Genetic Resources and Community Knowledge, and Community Rights Council of Ministers Regulations",Regulation no. 169/2009,ETH,,ETH,Access and benefit-sharing,"Access to resources, Benefit-sharing, Compliance, Contractual terms, Prior informed consent (PIC), Scope of legislation",Regulation,"These Regulations establish the procedures by which users can seek commercial and non-commercial access to genetic resources and/or traditional knowledge thereof.
",2009-11-09,2009-11-09,English,"Access to Genetic Resources and Community Knowledge, and Community Rights Council of Ministers Regulations",https://ampeid.org/static/a49ad7377ab9683d44ac7ce394b9fee9/ETH_ABS Regulations..pdf,9.68 MB,.pdf
Act Implementing the Obligations under the Nagoya Protocol and Transposing Regulation (EU) No. 511/2014,,DEU,,DEU,Access and benefit-sharing,"Compliance, Legal sanctions",Legislation,"Describes the implementation of duties in line with the EU ABS Regulation. Outlines the Competent National Authority, and outlines the monitoring mechanisms as well as penalties for infringing the user's obligations.
",2015-11-25,2016-07-01,English,Act Implementing the Obligations under the Nagoya Protocol and Transposing Regulation (EU) No. 511/2014,https://ampeid.org/static/9454f2045d1a4887174bca039a38c168/Germany_EURegulationImplementingAct_2016..pdf,41.3 kB,.pdf
Act Implementing the Obligations under the Nagoya Protocol and Transposing Regulation (EU) No. 511/2014,,DEU,,DEU,Access and benefit-sharing,"Compliance, Legal sanctions",Legislation,"Describes the implementation of duties in line with the EU ABS Regulation. Outlines the Competent National Authority, and outlines the monitoring mechanisms as well as penalties for infringing the user's obligations.
",2015-11-25,2016-07-01,German,"Gesetz zur Umsetzung der Verpflichtungen nach dem Nagoya-Protokoll, zur Durchführung der Verordnung (EU) Nr. 511/2014 und zur Änderung des Patentgesetzes sowie zur Änderung des Umweltauditgesetzes",https://ampeid.org/static/8fa759f3d839183f793be0fed91621ca/DE_Umsetzungsgesetz..pdf,69.5 kB,.pdf
Act No. 132 on Medicines etc.,,NOR,,NOR,Antimicrobial resistance in agriculture,"Prescription and sale of veterinary medical products, Medicated feed",Legislation,"This Act regulates the prescription and sale of medicines, including for veterinary use, in Norway.	
",,,Norwegian,Lov om legemidler m.v. (legemiddelloven),https://ampeid.org/static/852e35fc677bfed0fbe106f66fe259c1/Norway_VMP..pdf,594 kB,.pdf
Act No. 1375 on sharing benefits arising from the utilisation of genetic resources,,DNK,,DNK,Access and benefit-sharing,"Scope of legislation, Compliance, Legal sanctions",Legislation,"Regulates into law the obligations to comply with EU ABS legislation. Outlines the methods of monitoring and penalties incurred in cases of non-compliance, including imprisonment and fines.
",2012-12-23,2012-12-23,English,Act no. 1375 23/12/2012 on sharing benefits arising from the utilisation of genetic resources,https://ampeid.org/static/577f724265ef7849f06aa388ea4967da/Denmark_ActonBenefitSharing_2012..pdf,123 kB,.pdf
Act No. 1375 on sharing benefits arising from the utilisation of genetic resources,,DNK,,DNK,Access and benefit-sharing,"Scope of legislation, Compliance, Legal sanctions",Legislation,"Regulates into law the obligations to comply with EU ABS legislation. Outlines the methods of monitoring and penalties incurred in cases of non-compliance, including imprisonment and fines.
",2012-12-23,2012-12-23,Danish,LOV nr 1375 om udbyttedeling ved anvendelse af genetiske ressourcer,https://ampeid.org/static/395acb7b909cfa3f329fa45bb21fa8bf/A20120137530..pdf,169 kB,.pdf
Act No. 14 on veterinary medicinal products,,ISL,,ISL,"Antimicrobial resistance and water, sanitation, and hygiene",Medical waste disposal,Legislation,"This act outlines the regulatory measures and protocols for the handling, use, transport and disposal of veterinary medicines, including antimicrobials. 
",2022-02-15,2022-02-15,Icelandic,Lög um dýralyf,https://ampeid.org/static/5940611341b86e7a8ad5ebfd198bbe1c/ice209525..pdf,321 kB,.pdf
Act No. 2 of 1967 on the control of veterinary medicines and their production,,JOR,,JOR,Antimicrobial resistance in agriculture,Prescription and sale of veterinary medical products,Legislation,"This Act regulates the import, manufacture, sale and use of veterinary medicines in Jordan.
",,,Arabic,نظام رقم (2) لسنة 1967م بشأن مراقبة الادوية البيظرية وصناعتها الصادر بمقتضى المادة (20) من قانون امراض الحيوانات لسنة 1954م,https://ampeid.org/static/eba3164d6ed7b18a82e2862daf886f53/Jordan_VMP..pdf,248 kB,.pdf
"Act No. 22 on Food, Feed, Fertilizer, and Seed Products Control",,ISL,,ISL,Antimicrobial resistance in agriculture,Medicated feed,Legislation,"This Act regulates animal feed in Iceland, including the use of medicated feed.
",,,Icelandic,"Lög um eftirlit með fóðri, áburði og sáðvöru",https://ampeid.org/static/2e746c738a8d6584ba86f4056d8907e2/Iceland_Feed..pdf,69.6 kB,.pdf
Act No. 25 on hygiene and pollution prevention,,ISL,,ISL,"Antimicrobial resistance and water, sanitation, and hygiene","Pollutant disposal in water sources, Sewerage, Water quality monitoring",Legislation,"This act broadly guarantees the protection of the environment in Iceland. The document creates regulations for sewerage systems, outlines the standards for assessing and mitigating pollution risk from a variety of activities, and establishes the measures taken to ensure the prevention of water pollution. 
",1998-03-12,1998-03-12,Icelandic,Lög um hollustuhætti og mengunarvarnir,https://ampeid.org/static/9557fbeb8489884110e0310083e01349/ice199599..pdf,414 kB,.pdf
Act No. 30 on the Icelandic Food and Veterinary Authority,,ISL,,ISL,Antimicrobial resistance in agriculture,Competent veterinary authority,Legislation,"This Act establishes the Icelandic Food and Veterinary Authority.
",,,Icelandic,Lög um Matvælastofnun,https://ampeid.org/static/9612c9bdce7a634ecb59f056bb31c85a/Iceland_VetAuthority..pdf,93.9 kB,.pdf
"Act No. 435/2001 Coll. on Patents, Supplementary Protection Certificates and Amendment of Some Acts",[Patent Act (as amended up to Act No. 291/2018 Coll.)],SVK,,SVK,Trade and intellectual property,"Compulsory licensing provision, Pharmaceutical export provision",Legislation,,2001-10-04,2001-10-31,Slovak,"Zákon č. 435/2001 Z.z o patentoch, dodatkových ochranných osvedčeniach a o zmene a doplnení niektorých zákonov",https://ampeid.org/static/ec5b508d9c33feb536d39e1a6dbbd528/Slovakia..pdf,484 kB,.pdf
"Act No. 527/1990 Coll. of November 27, 1990, on Inventions and Rationalization Proposals",(As amended up to Act No. 196/2017 Coll.),CZE,,CZE,Trade and intellectual property,"Compulsory licensing provision, Pharmaceutical export provision",Legislation,,1990-11-27,1991-01-01,Czech,Zákon č. 527/1990 Sb. ze dne 27. listopadu 1990 o vynálezech a zlepšovacích návrzích Zmena : 519/1991 Sb. (ve znění zákona č. 196/2017 Sb.),https://ampeid.org/static/e3dde8ccd9cdc261dfca1d06867e230f/Czechia..pdf,724 kB,.pdf
Act No. 66 on veterinarians and animal health services,,ISL,,ISL,Antimicrobial resistance in agriculture,Qualifications for prescribing veterinary medical products,Legislation,"This Act regulates veterinarians and animal health services in Iceland. It specifies the qualifications required to practice veterinary medicine.
",,,Icelandic,Lög um dýralækna og heilbrigðisþjónustu við dýr,https://ampeid.org/static/123dad1ef10dd1f651d35beb49289a25/Iceland_Vet..pdf,121 kB,.pdf
"Act No. 8 on the keeping, distribution and supply of veterinary drugs",,SMR,,SMR,Antimicrobial resistance in agriculture,Prescription and sale of veterinary medical products,Legislation,"This Act regulates the distribution, supply and use of veterinary medical products in San Marino.
",,,Italian,"Legge n. 8: Detenzione, distribuzione e fornitura dei medicinali veterinari.",https://ampeid.org/static/52a3e5aac4cb0579671a973799a1c68b/SanMarino_VMP..pdf,69.5 kB,.pdf
Act No. CXXVII of 2012 concerning the Hungarian Veterinary Chamber and the provision of veterinary services,,HUN,,HUN,Antimicrobial resistance in agriculture,Qualifications for prescribing veterinary medical products,Legislation,"This Act establishes the Hungarian Veterinary Chamber, and regulates the veterinary profession in Hungary.
",,,Hungarian,"2012. évi CXXVII. törvény a Magyar Állatorvosi Kamaráról, valamint az állatorvosi szolgáltatói tevékenység végzéséről",https://ampeid.org/static/36b9c198f4723af42b67524c362828d9/Hungary_VetChamber..pdf,336 kB,.pdf
Act No. LVII of 1995 on water management,,HUN,,HUN,"Antimicrobial resistance and water, sanitation, and hygiene","Sewerage, Pollutant disposal in water sources, Water quality monitoring, Effluent wastewater disposal ",Legislation,"This act outlines the protections of Hungary's surface and underground water sources through setting legally quality enforceable standards for the maximum residue limits of polluting substances. It establishes the protocol and authority for monitoring these water sources and sets forth the penalties for polluting sources. Finally, the act regulates sewerage systems and the disposal of wastewater effluent into water bodies. 
",1995-06-23,1995-06-23,Hungarian,1995. évi LVII. törvény a vízgazdálkodásról,https://ampeid.org/static/a84bd6b70cc820b5d10cebec2ea6f688/hun5203..pdf,438 kB,.pdf
Act No. XXXIII of 1995 on the Protection of Inventions by Patents,"(Consolidated text of July 28, 2022)",HUN,,HUN,Trade and intellectual property,"Compulsory licensing provision, Pharmaceutical export provision",Legislation,,1995-04-25,1996-01-01,English,Act No. XXXIII of 1995 on the Protection of Inventions by Patents,https://ampeid.org/static/7a45019257bcf36a6273abf3ec31d712/Hungary..pdf,667 kB,.pdf
Act No. XXXIII of 1995 on the Protection of Inventions by Patents,"(Consolidated text of July 28, 2022)",HUN,,HUN,Trade and intellectual property,"Compulsory licensing provision, Pharmaceutical export provision",Legislation,,1995-04-25,1996-01-01,Hungarian,1995. évi XXXIII. törvény a találmányok szabadalmi oltalmáról (Hatályos: 28.07.2022),https://ampeid.org/static/fc847560035924bb62bbb60192523ee0/Hungary_Hu..pdf,1.12 MB,.pdf
Act amending and supplementing the Act on water supply and public sewerage,,SVK,,SVK,"Antimicrobial resistance and water, sanitation, and hygiene","Effluent wastewater disposal , Sewerage",Legislation,"This act establishes the standards for connecting to the existing sewerage systems and regulates the disposal of wastewater into these systems. 
",2009-11-01,2009-11-01,English,Act amending and supplementing the Act on water supply and public sewerage,https://ampeid.org/static/0381b9b20e7d99dfa2d7a9e4099a2dcf/slo94707..pdf,81.3 kB,.pdf
Act concerning the defence against and elimination of epizootic diseases,,AUT,,AUT,Antimicrobial resistance in agriculture,"Animal movement regulations, Approval of other animal health measures, Competent veterinary authority",Legislation,"This Law establishes the district administrative authority as the competent veterinary authority within districts in Austria, and contains measures for the prevention and control of communicable diseases in animals, such as quarantine. 
",,,German,"Gesetz vom 6. August 1909, betreffend die Abwehr und Tilgung von Tierseuchen",https://ampeid.org/static/6101b20b6cb54a7c3da00b6ab687a327/Austria_Epizoonotic..pdf,468 kB,.pdf
Act containing provisions concerning general matters of environmental hygiene (Environment Management Act),,NLD,,NLD,"Antimicrobial resistance and water, sanitation, and hygiene",Pollutant disposal in water sources,Legislation,"This Act develops a framework for regulating environment protection, including information about permits, assessment reports, quality standards, and management of waste water.
",1979-06-13,1979-06-13,Dutch,Wet houdende regelen met betrekking tot een aantal algemene onderwerpen op het gebied van de milieuhygiëne (Wet Milieubeheer),https://ampeid.org/static/77fc292abb799bb7178bc5e66150294a/net8981..pdf,5.89 MB,.pdf
Act containing rules relative to management and use of water resources (Water Act),,NLD,,NLD,"Antimicrobial resistance and water, sanitation, and hygiene",Water quality standards,Legislation,"This Act manages the conservation of freshwater resources, including the improvement of the ecological quality of water resources, plan for water use and administration of water systems, and protection of waterworks.
",2009-01-29,2009-01-29,Dutch,"Wet van 29 januari 2009, houdende regels met betrekking tot het beheer en gebruik van watersystemen (Waterwet)",https://ampeid.org/static/6f35b560dc548e8552e3ecf01b191dcc/net87643..pdf,709 kB,.pdf
Act of 17 June 1966 on Enforcement Proceedings in Administration,,POL,,POL,"Childhood vaccination, General vaccination policies",Enforcement of childhood vaccination requirement,Legislation,"Article 5 of the Act of Prevention and Control of Infection and Infectious Diseases in Humans is enforceable pursuant to Article 119, paragraph one of the Act of 17 June 1966 on Enforcement Proceedings in Administration. This section states that the failure to comply with the mandated vaccination schedule results in the delinquent party incurring a fine. 
",1966-06-17,1966-06-17,Polish,Ustawa z dnia 17 czerwca 1966 r. o postępowaniu egzekucyjnym w administracji,https://ampeid.org/static/90cdb044d9f117fc35a3b7ea4aed78d6/POL_Administration Law_1966..pdf,2.37 MB,.pdf
"Act of 17 May 2018 on conditions of utilisation of genetic resources under the Nagoya Protocol ",,CZE,,CZE,Access and benefit-sharing,"Compliance, Legal sanctions, Scope of legislation",Legislation,"Regulates into Czech law the right and obligations incurred by the EU ABS Legislation. Designates a competent national authority responsible for the monitoring of ABS proceedings, and for the penalization of non-compliance.
",2018-05-17,2018-06-01,English,"Act of 17 May 2018 on conditions of utilisation of genetic resources under the Nagoya Protocol ",https://ampeid.org/static/31441bcf5bd08accd2cbc48e9450871e/CZ Act 93_2018 EN..pdf,100 kB,.pdf
"Act of 17 May 2018 on conditions of utilisation of genetic resources under the Nagoya Protocol ",,CZE,,CZE,Access and benefit-sharing,"Compliance, Legal sanctions, Scope of legislation",Legislation,"Regulates into Czech law the right and obligations incurred by the EU ABS Legislation. Designates a competent national authority responsible for the monitoring of ABS proceedings, and for the penalization of non-compliance.
",2018-05-17,2018-06-01,Czech,ZÁKON č. 93/2018 Sb. ze dne 17. května 2018 o podmínkách využívání genetických zdrojů podle Nagojského protokolu,https://ampeid.org/static/ff7bedb77fb7024a57e5a9c12ff1ddf0/Z  93_2018 ..pdf,217 kB,.pdf
"Act of June 30, 2000, on Industrial Property","(Amended up to Act of February 13, 2020)",POL,,POL,Trade and intellectual property,"Compulsory licensing provision, Pharmaceutical export provision",Legislation,,2001-05-21,2001-08-22,Polish,Ustawa z dnia 30 czerwca 2000 r. Prawo własności przemysłowej (zmieniona do ustawy z dnia 13 lutego 2020),https://ampeid.org/static/2b0a2410c36d84078c83a81a790f880d/Poland..pdf,1.34 MB,.pdf
Act of of 19 July 2016 on Access to Genetic Resources and Sharing of Benefits Arising from their Utilization,,POL,,POL,Access and benefit-sharing,"Compliance, Contractual terms, Legal sanctions",Legislation,"Law outlining the Polish implementation of the EU ABS. Designates a Competent National Authority, and outlines monitoring and compliance mechanisms for abiding with contractual terms of ABS, and penalties incurred.
",2016-07-19,2016-09-10,English,Act of of 19 July 2016 on Access to Genetic Resources and Sharing of Benefits Arising from their Utilization,https://ampeid.org/static/f727123e144b7047b89011e7157e3c2a/ABS16-07-19-PL..pdf,142 kB,.pdf
Act of of 19 July 2016 on Access to Genetic Resources and Sharing of Benefits Arising from their Utilization,,POL,,POL,Access and benefit-sharing,"Compliance, Contractual terms, Legal sanctions",Legislation,"Law outlining the Polish implementation of the EU ABS. Designates a Competent National Authority, and outlines monitoring and compliance mechanisms for abiding with contractual terms of ABS, and penalties incurred.
",2016-07-19,2016-09-10,Polish,USTAWA z dnia 19 lipca 2016 r. o dostępie do zasobów genetycznych i podziale korzyści z ich wykorzystania,https://ampeid.org/static/53b6d4c53a21d7a78cc5718434d5fad3/pol182579..pdf,71.6 kB,.pdf
Act on Chemical Substances and Products (No. 849 of 2014),,DNK,,DNK,"Antimicrobial resistance and water, sanitation, and hygiene",Medical waste disposal,Legislation,"This act regulates the handling chemical substances, through all stages of development and disposal, in a way that ensures environmental and human health.
",2010-06-26,2010-06-26,Danish,Bekendtgørelse af lov om kemikalier,https://ampeid.org/static/c83bab52d1906a8fb278397d1d9950f5/den137612 (1)..pdf,325 kB,.pdf
