Treaty,Country,Status,Signed,Ratified,Entered into force,"Reservations, understandings, and declarations","Reservations, understandings, and declarations text"
TRIPS Agreement,GRD,Party,,2015-12-08,2017-01-23,,
TRIPS Agreement,GTM,Party,,,,,
TRIPS Agreement,GIN,Party,,2018-02-15,2018-02-15,,
TRIPS Agreement,GNB,Party,,,,,
TRIPS Agreement,GUY,Party,,,,,
TRIPS Agreement,HTI,Party,,,,,
TRIPS Agreement,HND,Party,,2011-12-16,2017-01-23,,
TRIPS Agreement,HUN,Party,,,,,
TRIPS Agreement,ISL,Party,,2015-10-12,2017-01-23,,
TRIPS Agreement,IND,Party,,2007-03-26,2017-01-23,,
TRIPS Agreement,IDN,Party,,2011-10-20,2017-01-23,,
TRIPS Agreement,IRN,Observer,,,,,
TRIPS Agreement,IRQ,Observer,,,,,
TRIPS Agreement,IRL,Party,,,,,
TRIPS Agreement,ISR,Party,,2007-08-10,2017-01-23,,
TRIPS Agreement,ITA,Party,,,,,
TRIPS Agreement,JAM,Party,,,,,
TRIPS Agreement,JPN,Party,,2007-08-10,2017-01-23,,
TRIPS Agreement,JOR,Party,,2008-08-06,2017-01-23,,
TRIPS Agreement,KAZ,Party,,,,,
TRIPS Agreement,KEN,Party,,2015-07-21,2017-01-23,,
TRIPS Agreement,KIR,Non-party,,,,,
TRIPS Agreement,XXK,Non-party,,,,,
TRIPS Agreement,KWT,Party,,,,,
TRIPS Agreement,KGZ,Party,,2018-02-06,2018-02-06,,
TRIPS Agreement,LAO,Party,,2015-09-29,2017-01-23,,
TRIPS Agreement,LVA,Party,,,,,
TRIPS Agreement,LBN,Observer,,,,,
TRIPS Agreement,LSO,Party,,2016-01-04,2017-01-23,,
TRIPS Agreement,LBR,Party,,,,,
TRIPS Agreement,LBY,Observer,,,,,
TRIPS Agreement,LIE,Party,,2017-01-23,2017-01-23,,
TRIPS Agreement,LTU,Party,,,,,
TRIPS Agreement,LUX,Party,,,,,
TRIPS Agreement,MDG,Party,,2017-11-09,2017-11-09,,
TRIPS Agreement,MWI,Party,,2017-07-24,2017-07-24,,
TRIPS Agreement,MYS,Party,,2015-12-10,2017-01-23,,
TRIPS Agreement,MDV,Party,,2022-04-20,,,
TRIPS Agreement,MLI,Party,,2016-01-20,2017-01-23,,
TRIPS Agreement,MLT,Party,,,,,
TRIPS Agreement,MHL,Non-party,,,,,
TRIPS Agreement,MRT,Party,,,,,
TRIPS Agreement,MUS,Party,,2008-04-16,2017-01-23,,
TRIPS Agreement,MEX,Party,,2008-05-23,2017-01-23,,
TRIPS Agreement,FSM,Non-party,,,,,
TRIPS Agreement,MCO,Non-party,,,,,
TRIPS Agreement,MNG,Party,,2010-09-17,2017-01-23,,
TRIPS Agreement,MNE,Party,,2013-09-09,2017-01-23,,
TRIPS Agreement,MAR,Party,,2008-12-02,2017-01-23,,
TRIPS Agreement,MOZ,Party,,,,,
TRIPS Agreement,MMR,Party,,2015-12-16,2017-01-23,,
TRIPS Agreement,NAM,Party,,2023-04-04,2023-04-04,,
TRIPS Agreement,NRU,Non-party,,,,,
TRIPS Agreement,NPL,Party,,2016-03-11,2017-01-23,,
TRIPS Agreement,NLD,Party,,,,,
TRIPS Agreement,NCL,Non-party,,,,,
TRIPS Agreement,NZL,Party,,2010-10-21,2017-01-23,,
TRIPS Agreement,NIC,Party,,2010-01-25,2017-01-23,,
TRIPS Agreement,NER,Party,,2020-03-12,2017-01-23,,
TRIPS Agreement,NGA,Party,,2017-01-16,2017-01-23,,
TRIPS Agreement,NIU,Non-party,,,,,
TRIPS Agreement,PRK,Non-party,,,,,
TRIPS Agreement,MKD,Party,,2010-03-16,2017-01-23,,
TRIPS Agreement,NOR,Party,,2007-02-05,2017-01-23,,
TRIPS Agreement,OMN,Party,,2017-03-01,2017-03-01,,
TRIPS Agreement,PAK,Party,,2010-02-08,2017-01-23,,
TRIPS Agreement,PLW,Non-party,,,,,
TRIPS Agreement,PSE,Non-party,,,,,
TRIPS Agreement,PAN,Party,,2011-11-24,2017-01-23,,
TRIPS Agreement,PNG,Party,,2016-06-22,2017-01-23,,
TRIPS Agreement,PRY,Party,,2018-07-04,2018-07-04,,
TRIPS Agreement,PER,Party,,2016-09-13,2017-01-23,,
TRIPS Agreement,PHL,Party,,2007-03-30,2017-01-23,,
TRIPS Agreement,POL,Party,,,,,
TRIPS Agreement,PRT,Party,,,,,
TRIPS Agreement,PRI,Non-party,,,,,
TRIPS Agreement,QAT,Party,,2016-04-16,2017-01-23,,
TRIPS Agreement,MDA,Party,,2015-07-07,2017-01-23,,
TRIPS Agreement,COG,Party,,,,,
TRIPS Agreement,ROU,Party,,,,,
TRIPS Agreement,RUS,Party,,2017-09-22,2017-09-22,,
TRIPS Agreement,RWA,Party,,2011-12-12,2017-01-23,,
TRIPS Agreement,KNA,Party,,2015-07-27,2017-01-23,,
TRIPS Agreement,LCA,Party,,2016-05-02,2017-01-23,,
TRIPS Agreement,VCT,Party,,2017-05-09,2017-05-09,,
TRIPS Agreement,WSM,Party,,2016-04-21,2017-01-23,,
TRIPS Agreement,SMR,Non-party,,,,,
TRIPS Agreement,STP,Observer,,,,,
TRIPS Agreement,SAU,Party,,2012-05-29,2017-01-23,,
TRIPS Agreement,SEN,Party,,2011-01-18,2017-01-23,,
TRIPS Agreement,SRB,Observer,,,,,
TRIPS Agreement,SYC,Party,,2016-06-08,2017-01-23,,
TRIPS Agreement,SLE,Party,,2017-03-21,2017-03-21,,
TRIPS Agreement,SGP,Party,,2007-09-28,2017-01-23,,
TRIPS Agreement,SVK,Party,,,,,
TRIPS Agreement,SVN,Party,,,,,
TRIPS Agreement,SLB,Party,,,,,
TRIPS Agreement,SOM,Observer,,,,,
TRIPS Agreement,ZAF,Party,,2016-02-23,2017-01-23,,
TRIPS Agreement,KOR,Party,,2007-01-24,2017-01-23,,
TRIPS Agreement,SSD,Observer,,,,,
TRIPS Agreement,ESP,Party,,,,,
TRIPS Agreement,LKA,Party,,2015-09-09,2017-01-23,,
TRIPS Agreement,SDN,Observer,,,,,
TRIPS Agreement,SUR,Party,,,,,
TRIPS Agreement,SWE,Party,,,,,
TRIPS Agreement,CHE,Party,,2006-09-13,2017-01-23,,
TRIPS Agreement,SYR,Observer,,,,,
TRIPS Agreement,TJK,Party,,2016-05-23,2017-01-23,,
TRIPS Agreement,THA,Party,,2016-01-28,2017-01-23,,
TRIPS Agreement,TLS,Observer,,,,,
TRIPS Agreement,TGO,Party,,2012-03-13,2017-01-23,,
TRIPS Agreement,TKL,Non-party,,,,,
TRIPS Agreement,TON,Party,,,,,
TRIPS Agreement,TTO,Party,,2013-09-19,2017-01-23,,
TRIPS Agreement,TUN,Party,,,,,
TRIPS Agreement,TUR,Party,,2014-05-14,2017-01-23,,
TRIPS Agreement,TKM,Observer,,,,,
TRIPS Agreement,TUV,Non-party,,,,,
TRIPS Agreement,UGA,Party,,2010-07-12,2017-01-23,,
TRIPS Agreement,UKR,Party,,2016-03-16,2017-01-23,,
TRIPS Agreement,ARE,Party,,2017-01-23,2017-01-23,,
TRIPS Agreement,GBR,Party,,2021-01-01,2021-01-01,,
TRIPS Agreement,TZA,Party,,2016-03-14,2017-01-23,,
TRIPS Agreement,USA,Party,,2005-12-17,2017-01-23,,
TRIPS Agreement,URY,Party,,2014-07-31,2017-01-23,,
TRIPS Agreement,UZB,Observer,,,,,
TRIPS Agreement,VUT,Party,,,,,
TRIPS Agreement,VAT,Observer,,,,,
TRIPS Agreement,VEN,Party,,,,,
TRIPS Agreement,VNM,Party,,2017-01-23,2017-01-23,,
TRIPS Agreement,YEM,Party,,,,,
TRIPS Agreement,ZMB,Party,,2009-08-10,2017-01-23,,
TRIPS Agreement,ZWE,Party,,,,,
Biological Weapons Convention,PNG,Party,,1980-10-27,1980-10-27,,
Biological Weapons Convention,AFG,Party,1972-04-10,1975-03-26,1975-03-26,,
Biological Weapons Convention,ALB,Party,,1992-06-03,1992-06-03,,
Biological Weapons Convention,DZA,Party,,2001-09-28,2001-09-28,,
Biological Weapons Convention,AND,Party,,2015-03-02,2015-03-02,,
Biological Weapons Convention,AGO,Party,,2016-07-26,2016-07-26,,
Biological Weapons Convention,ATG,Party,,2003-01-29,2003-01-29,,
Biological Weapons Convention,VCT,Party,,1999-05-13,1999-05-13,,
Biological Weapons Convention,HUN,Party,1972-04-10,1972-12-27,1975-03-26,,
Biological Weapons Convention,LKA,Party,1972-04-10,1976-11-18,1976-11-18,,
Biological Weapons Convention,MCO,Party,,1999-04-30,1999-04-30,,
Biological Weapons Convention,CZE,Party,,1993-04-05,1993-04-05,,
Biological Weapons Convention,SUR,Party,,1993-01-06,1993-01-06,,
Biological Weapons Convention,DOM,Party,1972-04-10,1973-02-23,1975-03-26,,
Biological Weapons Convention,HTI,Signatory,1972-04-10,,,,
Biological Weapons Convention,TUV,Non-party,,,,,
Biological Weapons Convention,STP,Party,,1979-08-24,1979-08-24,,
Biological Weapons Convention,IRQ,Party,1972-05-11,1991-06-19,1991-06-19,,
Biological Weapons Convention,TKL,Non-party,,,,,
Biological Weapons Convention,HND,Party,1972-04-10,1979-03-14,1979-03-14,,
Biological Weapons Convention,PAN,Party,1972-05-02,1974-03-20,1975-03-26,,
Biological Weapons Convention,CHN,Party,,1984-11-15,1984-11-15,,
Biological Weapons Convention,WSM,Party,,2017-09-21,2017-09-21,,
Biological Weapons Convention,BFA,Party,,1991-04-17,1991-04-17,,
Biological Weapons Convention,NIU,Party,,2018-06-14,2018-06-14,,
Biological Weapons Convention,JOR,Party,1972-04-10,1975-05-30,1975-05-30,,
Biological Weapons Convention,DNK,Party,1972-04-10,1973-03-01,1975-03-26,,
Biological Weapons Convention,ARE,Party,1972-09-28,2008-06-19,2008-06-19,,
Biological Weapons Convention,FRA,Party,,1984-09-27,1984-09-27,,
Biological Weapons Convention,GNQ,Party,,1989-01-16,1989-01-16,,
Biological Weapons Convention,ZMB,Party,,2008-01-15,2008-01-15,,
Biological Weapons Convention,TCD,Non-party,,,,,
Biological Weapons Convention,NER,Party,1972-04-21,1972-06-23,1975-03-26,,
Biological Weapons Convention,ARG,Party,1972-08-01,1979-11-27,1979-11-27,,
Biological Weapons Convention,SOM,Signatory,1972-07-03,,,,
Biological Weapons Convention,UKR,Party,1972-04-10,1992-03-26,1992-03-26,,
Biological Weapons Convention,SLB,Party,,1981-06-17,1981-06-17,,
Biological Weapons Convention,CIV,Party,1972-05-23,2016-03-23,2016-03-23,,
Biological Weapons Convention,UGA,Party,,1992-05-12,1992-05-12,,
Biological Weapons Convention,FJI,Party,1973-02-22,1973-09-04,1975-03-26,,
Biological Weapons Convention,KIR,Non-party,,,,,
Biological Weapons Convention,SVK,Party,,1993-01-01,1993-01-01,,
Biological Weapons Convention,MUS,Party,1972-04-10,1972-08-07,1975-03-26,,
Biological Weapons Convention,ZWE,Party,,1990-11-05,1990-11-05,,
Biological Weapons Convention,BGD,Party,,1985-03-11,1985-03-11,,
Biological Weapons Convention,MLT,Party,1972-09-11,1975-04-07,1975-04-07,,
Biological Weapons Convention,SEN,Party,1972-04-10,1975-03-26,1975-03-26,,
Biological Weapons Convention,COM,Non-party,,,,,
Biological Weapons Convention,CPV,Party,,1977-10-20,1977-10-20,,
Biological Weapons Convention,UZB,Party,,1996-01-26,1996-01-26,,
Biological Weapons Convention,BLR,Party,1972-04-10,1975-03-26,1975-03-26,,
Biological Weapons Convention,COK,Party,,2008-12-04,2008-12-04,,
Biological Weapons Convention,BRN,Party,,1991-01-31,1991-01-31,,
Biological Weapons Convention,AZE,Party,,2004-02-26,2004-02-26,,
Biological Weapons Convention,VNM,Party,1972-04-10,1980-06-20,1980-06-20,,
Biological Weapons Convention,KEN,Party,,1976-01-07,1976-01-07,,
Biological Weapons Convention,MRT,Party,,2015-01-28,2015-01-28,,
Biological Weapons Convention,LBR,Party,1972-04-10,2016-11-04,2016-11-04,,
Biological Weapons Convention,GNB,Party,,1976-08-20,1976-08-20,,
Biological Weapons Convention,NRU,Party,,2013-03-05,2013-03-05,,
Biological Weapons Convention,NOR,Party,1972-04-10,1973-08-01,1975-03-26,,
Biological Weapons Convention,ZAF,Party,1972-04-10,1975-11-03,1975-11-03,,
Biological Weapons Convention,SYR,Signatory,1972-04-14,,,,
Biological Weapons Convention,SLV,Party,1972-04-10,1991-12-31,1991-12-31,,
Biological Weapons Convention,LAO,Party,1972-04-10,1973-03-20,1975-03-26,,
Biological Weapons Convention,TTO,Party,,2007-07-19,2007-07-19,,
Biological Weapons Convention,MDV,Party,,1993-08-02,1993-08-02,,
Biological Weapons Convention,DMA,Party,,2016-08-01,2016-08-01,,
Biological Weapons Convention,IND,Party,1973-01-15,1974-07-15,1975-03-26,,
Biological Weapons Convention,PRY,Party,,1976-06-09,1976-06-09,,
Biological Weapons Convention,VUT,Party,,2016-09-06,2016-09-06,,
Biological Weapons Convention,MOZ,Party,,2011-03-29,2011-03-29,,
Biological Weapons Convention,SWE,Party,1975-02-27,1976-02-05,1976-02-05,,
Biological Weapons Convention,BRA,Party,1972-04-10,1973-02-27,1975-03-26,,
Biological Weapons Convention,SSD,Party,,2023-02-15,2023-02-15,,
Biological Weapons Convention,CUB,Party,1972-04-12,1976-04-28,1976-04-28,,
Biological Weapons Convention,LTU,Party,,1998-02-10,1998-02-10,,
Biological Weapons Convention,TZA,Party,1972-08-16,2019-08-14,2019-08-14,,
Biological Weapons Convention,GMB,Party,1972-06-02,1997-05-07,1997-05-07,,
Biological Weapons Convention,PRK,Party,,1987-03-13,1987-03-13,,
Biological Weapons Convention,MHL,Party,,2012-11-15,2012-11-15,,
Biological Weapons Convention,MNG,Party,1972-04-10,1972-09-05,1975-03-26,,
Biological Weapons Convention,NPL,Party,1972-04-10,2016-11-04,2016-11-04,,
Biological Weapons Convention,CUW,Non-party,,,,,
Biological Weapons Convention,TKM,Party,,1996-01-11,1996-01-11,,
Biological Weapons Convention,OMN,Party,,1992-03-31,1992-03-31,,
Biological Weapons Convention,LIE,Party,,1991-05-30,1991-05-30,,
Biological Weapons Convention,SRB,Party,,1992-04-27,1992-04-27,,
Biological Weapons Convention,BTN,Party,,1978-06-08,1978-06-08,,
Biological Weapons Convention,NAM,Party,,2022-02-25,2022-02-25,,
Biological Weapons Convention,PRI,Non-party,,,,,
Biological Weapons Convention,POL,Party,1972-04-10,1973-01-25,1975-03-26,,
Biological Weapons Convention,GHA,Party,1972-04-10,1975-06-06,1975-06-06,,
Biological Weapons Convention,COD,Party,1972-04-10,1975-09-16,1975-09-16,,
Biological Weapons Convention,KHM,Party,1972-04-10,1983-03-09,1983-03-09,,
Biological Weapons Convention,GRD,Party,,1986-10-22,1986-10-22,,
Biological Weapons Convention,IRN,Party,1972-04-10,1973-08-22,1975-03-26,,
Biological Weapons Convention,ECU,Party,1972-06-14,1975-03-12,1975-03-26,,
Biological Weapons Convention,CYP,Party,1972-04-10,1973-11-06,1975-03-26,,
Biological Weapons Convention,USA,Party,1972-04-10,1972-03-26,1975-03-26,,
Biological Weapons Convention,KNA,Party,,1991-04-02,1991-04-02,,
Biological Weapons Convention,SAU,Party,1972-04-12,1972-05-24,1975-03-26,,
Biological Weapons Convention,LVA,Party,,1997-02-06,1997-02-06,,
Biological Weapons Convention,TON,Party,,1976-09-28,1976-09-28,,
Biological Weapons Convention,QAT,Party,1972-11-14,1975-04-17,1975-04-17,,
Biological Weapons Convention,KAZ,Party,,2007-06-15,2007-06-15,,
Biological Weapons Convention,FSM,Non-party,,,,,
Biological Weapons Convention,COG,Party,,1978-10-23,1978-10-23,,
Biological Weapons Convention,URY,Party,,1981-04-06,1981-04-06,,
Biological Weapons Convention,LUX,Party,1972-04-10,1976-03-23,1976-03-23,,
Biological Weapons Convention,VAT,Party,,2002-01-07,2002-01-07,,
Biological Weapons Convention,MNE,Party,,2006-06-03,2006-06-03,,
Biological Weapons Convention,GEO,Party,,1996-05-22,1996-05-22,,
Biological Weapons Convention,SVN,Party,,1992-04-19,1992-04-19,,
Biological Weapons Convention,ERI,Non-party,,,,,
Biological Weapons Convention,TLS,Party,,2003-05-05,2003-05-05,,
Biological Weapons Convention,PHL,Party,1972-04-10,1973-05-19,1975-03-26,,
Biological Weapons Convention,MKD,Party,,1996-12-26,1996-12-26,,
Biological Weapons Convention,NIC,Party,1972-04-10,1975-08-07,1975-08-07,,
Biological Weapons Convention,ISL,Party,1972-04-10,1973-02-15,1975-03-26,,
Biological Weapons Convention,PER,Party,1972-04-10,1985-06-05,1985-06-05,,
Biological Weapons Convention,VEN,Party,1972-04-10,1978-10-18,1978-10-18,,
Biological Weapons Convention,AUT,Party,1972-04-10,1973-08-10,1975-03-26,Reservation,"Considering the obligations resulting from its status as a permanently neutral state, the Republic of Austria declares a reservation to the effect that its co-operation within the framework of this Convention cannot exceed the limits determined by the status of permanent neutrality and membership with the United Nations.  This reservation refers in particular to Article VII of this Convention as well as to any similar provision replacing or supplementing this Article."
Biological Weapons Convention,ETH,Party,1972-04-10,1975-05-26,1975-05-26,,
Biological Weapons Convention,ARM,Party,,1994-06-07,1994-06-07,,
Biological Weapons Convention,MAR,Party,1972-05-02,2002-04-21,2002-04-21,,
Biological Weapons Convention,MDG,Party,1972-10-13,2008-03-07,2008-03-07,,
Biological Weapons Convention,KOR,Party,1972-04-10,1987-06-25,1987-06-25,,
Biological Weapons Convention,BLZ,Party,,1986-10-20,1986-10-20,,
Biological Weapons Convention,NLD,Party,1972-04-10,1981-06-22,1981-06-22,,
Biological Weapons Convention,PLW,Party,,2003-02-20,2003-02-20,,
Biological Weapons Convention,AUS,Party,1972-04-10,1977-10-05,1977-10-05,,
Biological Weapons Convention,TWN,Non-party,,,,,
Biological Weapons Convention,SMR,Party,1972-09-12,1975-03-11,1975-03-26,,
Biological Weapons Convention,CMR,Party,,2013-01-18,2013-01-18,,
Biological Weapons Convention,BIH,Party,,1994-08-15,1994-08-15,,
Biological Weapons Convention,BRB,Party,1973-02-16,1973-02-16,1975-03-26,,
Biological Weapons Convention,ISR,Non-party,,,,,
Biological Weapons Convention,HKG,Non-party,,,,,
Biological Weapons Convention,ROU,Party,1972-04-10,1979-07-25,1979-07-25,,
Biological Weapons Convention,GIN,Party,,2016-11-09,2016-11-09,,
Biological Weapons Convention,NGA,Party,1972-07-03,1973-07-03,1975-03-26,,
Biological Weapons Convention,IRL,Party,1972-04-10,1972-10-27,1975-03-26,,
Biological Weapons Convention,HRV,Party,,1993-04-28,1993-04-28,,
Biological Weapons Convention,EGY,Signatory,1972-04-10,,,,
Biological Weapons Convention,CAF,Party,1972-04-10,2018-09-25,2018-09-25,,
Biological Weapons Convention,JPN,Party,1972-04-10,1982-06-08,1982-06-08,,
Biological Weapons Convention,SDN,Party,,2003-10-17,2003-10-17,,
Biological Weapons Convention,BHR,Party,,1988-10-28,1988-10-28,,
Biological Weapons Convention,LBN,Party,1972-04-10,1975-04-26,1975-04-26,,
Biological Weapons Convention,SLE,Party,1972-11-19,1976-06-19,1976-06-19,,
Biological Weapons Convention,IDN,Party,1972-06-20,1992-02-04,1992-02-04,,
Biological Weapons Convention,COL,Party,1972-04-10,1983-10-19,1983-10-19,,
Biological Weapons Convention,LSO,Party,1972-04-10,1977-09-06,1977-09-06,,
Biological Weapons Convention,SGP,Party,1972-06-19,1975-12-02,1975-12-02,,
Biological Weapons Convention,TGO,Party,1972-04-10,1976-11-10,1976-11-10,,
Biological Weapons Convention,BGR,Party,1972-04-10,1972-08-02,1975-03-26,,
Biological Weapons Convention,MLI,Party,1972-04-10,2002-11-25,2002-11-25,,
Biological Weapons Convention,RWA,Party,1972-04-10,1975-05-20,1975-05-20,,
Biological Weapons Convention,NZL,Party,1972-04-10,1972-12-13,1975-03-26,,
Biological Weapons Convention,CAN,Party,1972-04-10,1972-09-18,1975-03-26,,
Biological Weapons Convention,PSE,Party,,2018-01-09,2018-01-09,,
Biological Weapons Convention,CHL,Party,1972-04-10,1980-04-22,1980-04-22,,
Biological Weapons Convention,CHE,Party,1972-04-10,1976-05-04,1976-05-04,,
Biological Weapons Convention,ITA,Party,1972-04-10,1975-05-30,1975-05-30,,
Biological Weapons Convention,PRT,Party,1972-06-29,1975-05-15,1975-05-15,,
Biological Weapons Convention,DJI,Non-party,,,,,
Biological Weapons Convention,DEU,Party,1972-04-10,1983-04-07,1983-04-07,,
Biological Weapons Convention,TJK,Party,,2005-06-27,2005-06-27,,
Biological Weapons Convention,RUS,Party,1972-04-10,1975-03-26,1975-03-26,,
Biological Weapons Convention,YEM,Party,1972-04-26,1979-06-01,1979-06-01,,
Biological Weapons Convention,GRC,Party,1972-04-10,1975-12-10,1975-12-10,,
Biological Weapons Convention,TUN,Party,1972-04-10,1973-05-18,1975-03-26,,
Biological Weapons Convention,BWA,Party,1972-04-10,1992-02-05,1992-02-05,,
Biological Weapons Convention,THA,Party,1973-01-17,1975-05-28,1975-05-28,,
Biological Weapons Convention,GTM,Party,1972-05-09,1973-09-19,1975-03-26,,
Biological Weapons Convention,JAM,Party,,1975-08-13,1975-08-13,,
Biological Weapons Convention,BDI,Party,1972-04-10,2011-10-18,2011-10-18,,
Biological Weapons Convention,SWZ,Party,,1991-06-18,1991-06-18,,
Biological Weapons Convention,,Non-party,,,,,
Biological Weapons Convention,BOL,Party,1972-04-10,1975-10-30,1975-10-30,,
Biological Weapons Convention,BEN,Party,1972-04-10,1975-04-25,1975-04-25,,
Biological Weapons Convention,KWT,Party,1972-04-14,1972-07-18,1975-03-26,,
Biological Weapons Convention,KGZ,Party,,2004-10-15,2004-10-15,,
Biological Weapons Convention,PAK,Party,1972-04-10,1974-09-25,1975-03-26,,
Biological Weapons Convention,GAB,Party,1972-04-10,2007-08-16,2007-08-16,,
Biological Weapons Convention,BEL,Party,1972-04-10,1979-04-15,1979-04-15,,
Biological Weapons Convention,ESP,Party,1972-04-10,1979-06-10,1979-06-10,,
Biological Weapons Convention,BHS,Party,,1986-11-26,1986-11-26,,
Biological Weapons Convention,MWI,Party,1972-04-10,2013-04-02,2013-04-02,,
Biological Weapons Convention,MDA,Party,,2005-01-28,2005-01-28,,
Biological Weapons Convention,GUY,Party,1973-01-03,2013-03-26,2013-03-26,,
Biological Weapons Convention,FIN,Party,1972-04-10,1974-02-04,1975-03-26,,
Biological Weapons Convention,CRI,Party,1972-04-10,1973-12-17,1975-03-26,,
Biological Weapons Convention,SYC,Party,,1979-10-11,1979-10-11,,
Biological Weapons Convention,TUR,Party,1972-04-10,1974-10-25,1975-03-26,,
Biological Weapons Convention,LBY,Party,1972-04-10,1982-01-19,1982-01-19,,
Biological Weapons Convention,GBR,Party,1972-04-10,1975-03-26,1975-03-26,,
Biological Weapons Convention,EST,Party,,1993-06-21,1993-06-21,,
Biological Weapons Convention,MYS,Party,1972-04-10,1991-09-06,1991-09-06,,
Biological Weapons Convention,MAC,Non-party,,,,,
Biological Weapons Convention,XXK,Non-party,,,,,
Biological Weapons Convention,MEX,Party,1972-04-10,1974-04-08,1975-03-26,,
Biological Weapons Convention,MMR,Party,1972-04-10,2014-12-01,2014-12-01,,
Biological Weapons Convention,NCL,Non-party,,,,,
Biological Weapons Convention,LCA,Party,,1986-11-26,1986-11-26,,
Cartagena Protocol,AFG,Party,,2013-02-20,2013-05-21,,
Cartagena Protocol,ALB,Party,,2005-02-08,2005-05-09,,
Cartagena Protocol,DZA,Party,2000-05-25,2004-08-05,2004-11-03,,
Cartagena Protocol,AND,Non-party,,,,,
Cartagena Protocol,AGO,Party,,2009-02-27,2009-05-28,,
Cartagena Protocol,ATG,Party,2000-05-24,2003-09-10,2003-12-09,,
Cartagena Protocol,ARG,Signatory,2000-05-24,,,,
