Topic,Subtopic,Country,Status,Status justification
Access and benefit-sharing,Scope of legislation,TKM,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,UKR,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,UZB,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,USA,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,BRB,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,BLZ,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,CHL,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,DMA,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,GRD,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,JAM,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,PRY,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,KNA,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,LCA,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,VCT,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,SUR,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,TTO,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,BRN,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,CHN,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,COK,No ABS legislation identified,"Legislation relating to traditional knowledge does exist (Traditional Knowledge Act 2013), however not explicitly in conjunction with genetic resources."
Access and benefit-sharing,Scope of legislation,MHL,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,FSM,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,NZL,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,NIU,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,PLW,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,PNG,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,WSM,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,SGP,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,TON,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,TUV,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,TWN,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,IDN,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,PRK,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,MDV,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,MMR,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,NPL,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,HKG,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,MAC,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,BHR,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,EGY,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,IRQ,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,PSE,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,JOR,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,KWT,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,LBY,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,MAR,No ABS legislation identified,"While there is a draft law in motion for the legislation of access and benefit-sharing (n° 56-17), it is not yet active and thus access and benefit-sharing is currently unregulation"
Access and benefit-sharing,Scope of legislation,OMN,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,PAK,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,SOM,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,SDN,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,SYR,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,TUN,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,YEM,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,BWA,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,BDI,No ABS legislation identified,Draft Laws published in 2017 but not yet passed
Access and benefit-sharing,Scope of legislation,GNQ,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,ERI,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,GMB,No ABS legislation identified,"There are plans for future ABS legislation cover biological resources and traditional knowledge, but no active legislation could currently be found."
Access and benefit-sharing,Scope of legislation,GHA,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,GIN,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,GNB,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,MLI,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,MUS,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,COG,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,STP,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,SEN,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,SYC,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,SSD,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,TGO,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,LBR,No ABS legislation identified,The Environment Protection and Management Law of 2004 outlines provisions to establish access and benefit-sharing mechanisms in Liberia. However to date these have not yet been established.
Access and benefit-sharing,Scope of legislation,LSO,No ABS legislation identified,"The provisions to institute regulation measures for ABS are only set to cover genetic resources in the current legislation. However the regulations have yet to be published, as such this is not enforceable."
Access and benefit-sharing,Scope of legislation,BLR,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,VAT,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,ITA,No ABS legislation identified,The EU regulation applies to both genetic material and traditional knowledge associated with genetic material. However to date this has not yet been implemented in Italy.
Access and benefit-sharing,Scope of legislation,LTU,No ABS legislation identified,The EU regulation applies to both genetic material and traditional knowledge associated with genetic material. However to date this has not yet been implemented in Lithuania.
Access and benefit-sharing,Scope of legislation,SVN,No ABS legislation identified,The EU regulation applies to both genetic material and traditional knowledge associated with genetic material. However to date this has not yet been implemented in Lithuania.
Access and benefit-sharing,Scope of legislation,LBN,No ABS legislation identified,"While a mechanism for access and benefit-sharing has been proposed, there are currently no substantive mentions of this subject in the available legislation."
Access and benefit-sharing,Scope of legislation,SLB,No ABS legislation identified,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,KGZ,No ABS legislation identified,"Legislation exists which regulates traditional knowledge and the traditional usage of genetic resources. However no legislation could be found which regulates the access to genetic resources, as they may apply to pathogens."
Access and benefit-sharing,Scope of legislation,MNE,Legislation covers genetic resources (including microorganisms),The scope of the relevant legislation applies to genetic material only. Traditional knowledge is not covered in the legislation.
Access and benefit-sharing,Scope of legislation,MKD,Legislation covers genetic resources (including microorganisms),The scope of the relevant legislation applies to genetic material only. Traditional knowledge is not covered in the legislation.
Access and benefit-sharing,Scope of legislation,ARG,Legislation covers genetic resources (including microorganisms),The scope of the relevant legislation applies to genetic material only. Traditional knowledge is not covered in the legislation.
Access and benefit-sharing,Scope of legislation,SLV,Legislation covers genetic resources (including microorganisms),The scope of the relevant legislation applies to genetic material only. Traditional knowledge is not covered in the legislation.
Access and benefit-sharing,Scope of legislation,SAU,Legislation covers genetic resources (including microorganisms),"Legislation regulates natural resources as ""all living and non-living materials found in nature"", and keeps the wording consistent throughout the legislation."
Access and benefit-sharing,Scope of legislation,DJI,Legislation covers genetic resources (including microorganisms),The scope of the relevant legislation applies to genetic material only. Traditional knowledge is not covered in the legislation.
Access and benefit-sharing,Scope of legislation,CAF,Legislation covers genetic resources (including microorganisms),The scope of the relevant legislation applies to genetic material only. Traditional knowledge is not covered in the legislation.
Access and benefit-sharing,Scope of legislation,GAB,Legislation covers genetic resources (including microorganisms),The scope of the relevant legislation applies to genetic material only. Traditional knowledge is not covered in the legislation.
Access and benefit-sharing,Scope of legislation,SWZ,Legislation covers genetic resources (including microorganisms),"The Environmental Act establishes Eswatini's sovereignty over its genetic resources, although does not delve further on pathways to access."
Access and benefit-sharing,Scope of legislation,TZA,Legislation covers genetic resources (including microorganisms),"The Environmental Act of 2004 proclaims sovereignty over domestic genetic resources, and establishes plans for future ABS regulations. However to date no such exist."
Access and benefit-sharing,Scope of legislation,NLD,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,GTM,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,LAO,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,IND,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,JPN,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,AUT,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,BEL,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,BGR,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,HRV,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,CYP,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,CZE,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,DNK,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,EST,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,FIN,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,FRA,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,DEU,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,GRC,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,HUN,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,IRL,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,LVA,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,LUX,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,MLT,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,NOR,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,POL,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,PRT,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,ROU,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,SVK,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,ESP,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,SWE,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,CHE,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,GBR,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,ATG,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,BHS,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,BRA,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,COL,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,CRI,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,CUB,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,DOM,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,ECU,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,HND,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,MEX,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,NIC,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,PAN,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,PER,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,URY,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,VEN,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,AUS,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material. The specifics of this vary depending on the state or territory or provenance.
Access and benefit-sharing,Scope of legislation,VNM,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,KHM,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,KIR,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,MYS,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,NRU,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,PHL,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,KOR,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,VUT,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,NCL,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,BTN,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,BGD,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,TLS,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,THA,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,AFG,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,IRN,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,ARE,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,DZA,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,BEN,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,CMR,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,COM,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,COD,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,ETH,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,KEN,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,MDG,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,MWI,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,NAM,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,NGA,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,ZAF,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,UGA,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,ZMB,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,ZWE,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,ALB,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,RWA,Legislation covers genetic resources (including microorganisms) and traditional knowledge,There are no substantive mentions of this subject in the available legislation.
Access and benefit-sharing,Scope of legislation,GUY,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,MOZ,Legislation covers genetic resources (including microorganisms) and traditional knowledge,The scope of the relevant legislation applies to both genetic material and traditional knowledge associated with genetic material.
Access and benefit-sharing,Scope of legislation,BOL,Legislation covers genetic resources (including microorganisms) and traditional knowledge,"The scope of the relevant legislation applies to genetic material from biological resources, including microorganisms. The inclusion of traditional knowledge associated with genetic material is implied within the terms ""intangible components""."
Access and benefit-sharing,Scope of legislation,MNG,Legislation does not cover microorganisms,"The relevant legislation covers plants and animals (including protozoa, but no other microorganisms). Genetic material as it applies to other micro-organisms or pathogens is not mentioned in this legislation however."
Access and benefit-sharing,Scope of legislation,MRT,Legislation does not cover microorganisms,"Legislation exists covering the genetic resources as they pertain to animals, plants, and aquaculture. However none exists that would cover pathogens or microbes."
Access and benefit-sharing,Scope of legislation,CPV,Legislation does not cover microorganisms,"Flora and Fauna is protected under the Environmental act, however no mention of micro-organisms"
